scenario,model,battery_id,true_eol_cycle_80,pred_eol_cycle_80,eol_cycle_error,RMSE,MAE,R2
all_eligible,ExtraTrees,B0042,106,107,1,0.977217966962824,0.954954954954955,0.9990569644450108
all_eligible,ExtraTrees,B0049,20,21,1,0.9128709291752769,0.8333333333333334,0.9792924935289042
all_eligible,ExtraTrees,B0055,63,64,1,0.7859052479933758,0.6176470588235294,0.9985675565604505
all_eligible,GradientBoosting,B0042,106,107,1,0.977217966962824,0.954954954954955,0.9990569644450108
all_eligible,GradientBoosting,B0049,20,21,1,0.9128709291752769,0.8333333333333334,0.9792924935289042
all_eligible,GradientBoosting,B0055,63,64,1,0.7859052479933758,0.6176470588235294,0.9985675565604505
all_eligible,HistGradientBoosting,B0042,106,107,1,0.977217966962824,0.954954954954955,0.9990569644450108
all_eligible,HistGradientBoosting,B0049,20,21,1,0.9128709291752769,0.8333333333333334,0.9792924935289042
all_eligible,HistGradientBoosting,B0055,63,64,1,0.7859052479933758,0.6176470588235294,0.9985675565604505
all_eligible,RandomForest,B0042,106,107,1,0.977217966962824,0.954954954954955,0.9990569644450108
all_eligible,RandomForest,B0049,20,21,1,0.9128709291752769,0.8333333333333334,0.9792924935289042
all_eligible,RandomForest,B0055,63,64,1,0.7859052479933758,0.6176470588235294,0.9985675565604505
all_eligible,SVR_RBF,B0042,106,106,0,0.0,0.0,1.0
all_eligible,SVR_RBF,B0049,20,17,-3,2.565800719723442,2.25,0.8364106988783434
clean_benchmark,ExtraTrees,B0007,125,126,1,0.8625819491779427,0.7440476190476191,0.9995625318987157
clean_benchmark,ExtraTrees,B0044,103,104,1,0.9632901577032373,0.9279279279279279,0.9990666935727979
clean_benchmark,ExtraTrees,B0046,42,43,1,0.7801894976054939,0.6086956521739131,0.9967883075777323
clean_benchmark,GradientBoosting,B0007,125,118,-7,5.912557258355587,5.041666666666667,0.9794459987292593
clean_benchmark,GradientBoosting,B0044,103,104,1,0.9632901577032373,0.9279279279279279,0.9990666935727979
clean_benchmark,GradientBoosting,B0046,42,45,3,2.355997588640778,1.8695652173913044,0.9707124238636061
clean_benchmark,HistGradientBoosting,B0007,125,128,3,2.5934900185253222,2.25,0.9960452883643901
clean_benchmark,HistGradientBoosting,B0044,103,104,1,0.9632901577032373,0.9279279279279279,0.9990666935727979
clean_benchmark,HistGradientBoosting,B0046,42,46,4,3.1530983152301557,2.5217391304347827,0.9475423571029603
clean_benchmark,RandomForest,B0007,125,126,1,0.8625819491779427,0.7440476190476191,0.9995625318987157
clean_benchmark,RandomForest,B0044,103,104,1,0.9632901577032373,0.9279279279279279,0.9990666935727979
clean_benchmark,RandomForest,B0046,42,43,1,0.7801894976054939,0.6086956521739131,0.9967883075777323
clean_benchmark,SVR_RBF,B0007,125,138,13,11.384774711784825,10.136904761904763,0.9237930567562782
clean_benchmark,SVR_RBF,B0044,103,109,6,5.822448016161321,5.702702702702703,0.9659026011110534
clean_benchmark,SVR_RBF,B0046,42,52,10,8.06225774829855,6.739130434782608,0.6570371306221241
nasa_classic_4,ExtraTrees,B0007,125,127,2,1.7268882005337975,1.494047619047619,0.9982466278500526
nasa_classic_4,GradientBoosting,B0007,125,126,1,0.8625819491779427,0.7440476190476191,0.9995625318987157
nasa_classic_4,HistGradientBoosting,B0007,125,142,17,14.964441981227493,13.458333333333334,0.8683361004926724
nasa_classic_4,RandomForest,B0007,125,126,1,0.8625819491779427,0.7440476190476191,0.9995625318987157
